id,last_scraped,host_since,host_listings_count,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,bed_type,price,security_deposit,cleaning_fee,review_scores_rating,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,has_availability,is_review,days_host
6422,2019-01-17,2009-04-03,1,t,t,District 6,36.173151457237736,-86.73581295614261,Private room,House,2,1.0,2,Real Bed,40.0,0.0,0.0,99.0,561,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,f,f,t,True,3576
20847,2019-01-17,2010-02-08,2,t,f,District 7,36.196396503473466,-86.70426664826425,Private room,House,2,1.0,1,Real Bed,41.0,0.0,25.0,94.0,138,10.0,9.0,10.0,9.0,9.0,f,f,strict_14_with_grace_period,t,t,t,True,3265
25341,2019-01-17,2010-02-08,2,t,f,District 7,36.197052606632525,-86.70493705451717,Private room,House,2,1.0,1,Real Bed,65.0,0.0,25.0,96.0,102,10.0,9.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,t,t,t,True,3265
25613,2019-01-17,2010-03-18,1,t,t,District 6,36.17826308539588,-86.74162211853232,Private room,House,2,1.0,1,Real Bed,93.0,0.0,0.0,97.0,454,10.0,10.0,10.0,10.0,10.0,t,f,moderate,t,t,t,True,3227
37306,2019-01-17,2010-07-08,1,f,f,District 17,36.13310932770669,-86.77476703844633,Private room,House,2,1.0,1,Real Bed,105.0,200.0,0.0,99.0,100,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,t,t,t,True,3115
39870,2019-01-17,2010-07-18,2,t,t,District 18,36.12522905242,-86.81277967753712,Private room,House,2,1.0,1,Real Bed,55.0,0.0,0.0,98.0,148,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,3105
65448,2019-01-17,2010-12-15,28,f,f,District 19,36.16538579209689,-86.77589196185372,Entire home/apt,Loft,4,1.0,1,Real Bed,272.0,0.0,75.0,93.0,32,10.0,10.0,9.0,10.0,9.0,f,f,strict_14_with_grace_period,f,f,t,True,2955
72906,2019-01-17,2010-07-21,1,t,t,District 18,36.130596765918106,-86.80045100464365,Entire home/apt,Apartment,4,1.0,2,Real Bed,90.0,0.0,25.0,98.0,517,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,t,True,3102
80410,2019-01-17,2011-03-09,4,t,t,District 6,36.17839355231161,-86.74866055777098,Private room,House,2,1.0,1,Real Bed,95.0,0.0,15.0,100.0,217,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,2871
125579,2019-01-17,2011-05-25,1,f,t,District 17,36.130543980874414,-86.78762158446034,Entire home/apt,House,8,2.0,3,Real Bed,195.0,150.0,85.0,94.0,158,9.0,10.0,9.0,10.0,9.0,f,f,strict_14_with_grace_period,t,t,t,True,2794
136015,2019-01-17,2011-06-05,4,t,t,District 15,36.19463574982407,-86.67195389978596,Entire home/apt,Apartment,2,1.0,1,Real Bed,96.0,150.0,35.0,97.0,49,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,t,True,2783
258817,2019-01-17,2009-06-19,13,t,t,District 12,36.16249333870618,-86.58988496633751,Private room,House,3,1.0,1,Real Bed,35.0,0.0,50.0,95.0,95,9.0,9.0,10.0,10.0,9.0,f,f,moderate,f,f,t,True,3499
280842,2019-01-17,2011-06-05,4,t,t,District 15,36.19408921544906,-86.67320170624224,Entire home/apt,House,8,2.0,3,Real Bed,135.0,250.0,35.0,98.0,164,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,2783
289242,2019-01-17,2009-06-19,13,t,t,District 12,36.16102249905288,-86.59206510306326,Private room,House,2,1.0,1,Real Bed,29.0,0.0,50.0,94.0,75,8.0,9.0,9.0,10.0,9.0,f,f,moderate,f,f,t,True,3499
319705,2019-01-17,2009-06-19,13,t,t,District 12,36.16296322190152,-86.59186559179035,Private room,House,4,1.0,1,Real Bed,35.0,0.0,50.0,94.0,46,9.0,9.0,9.0,10.0,9.0,f,f,moderate,f,f,t,True,3499
325560,2019-01-17,2012-01-28,4,t,f,District 17,36.131019707500855,-86.78210205592207,Entire home/apt,Townhouse,6,1.0,1,Real Bed,99.0,250.0,100.0,99.0,246,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,2546
329997,2019-01-17,2012-02-01,6,t,t,District 19,36.176411237435644,-86.79845965875059,Entire home/apt,Guesthouse,2,1.0,1,Real Bed,55.0,0.0,35.0,97.0,788,10.0,9.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,t,True,2542
340081,2019-01-17,2009-06-19,13,t,t,District 12,36.1612783973829,-86.58985915316352,Private room,House,3,3.0,1,Real Bed,29.0,0.0,50.0,97.0,76,9.0,9.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,3499
